,index,Player,Value,Year
519,1016,Tyler Ulis,7.015797999999998,2020
520,976,Jordan Sibert,6.975312700000001,2020
521,936,Quincy Pondexter,6.831544999999998,2020
522,991,D.J. Stephens,6.7363114,2020
523,628,Tyler Cavanaugh,6.628403,2020
524,803,Terrence Jones,6.2120733,2020
525,746,Udonis Haslem,6.0676,2020
526,837,Zach Lofton,5.9333487,2020
527,1037,Okaro White,5.374961,2020
528,761,John Holland,5.031325,2020
529,776,Andre Ingram,4.957388,2020
